"Index","Launch Debugger","Vertex_ID","Primitive_ID","Instance_ID","SV_POSITION_C0","SV_POSITION_C1","SV_POSITION_C2","SV_POSITION_C3","TEXCOORD2_C0","TEXCOORD2_C1","TEXCOORD2_C2","TEXCOORD3_C0","TEXCOORD3_C1"
"[1541]",,"1582","513","0","-5.6276","-9.56926","0.2","25.7663","0.751465","0.483887","0.448486","201","255"
"[1542]",,"2520","514","0","-5.54766","-9.43813","0.2","25.7761","0.57959","0.664551","0.471436","201","255"
"[1543]",,"1582","514","0","-5.6276","-9.56926","0.2","25.7663","0.751465","0.483887","0.448486","201","255"
"[1544]",,"1842","514","0","-5.54347","-9.50733","0.2","25.8228","0.941895","0.122864","0.312012","201","255"
"[1545]",,"1582","515","0","-5.6276","-9.56926","0.2","25.7663","0.751465","0.483887","0.448486","201","255"
"[1546]",,"2520","515","0","-5.54766","-9.43813","0.2","25.7761","0.57959","0.664551","0.471436","201","255"
"[1547]",,"1375","515","0","-5.62527","-9.50433","0.2","25.7049","0.405762","0.768066","0.495605","201","255"
"[1548]",,"1586","516","0","-5.40489","-9.61267","0.2","25.9055","0.765625","-0.54248","0.345947","201","255"
"[1549]",,"1585","516","0","-5.43067","-9.78087","0.2","25.8357","0.956543","-0.21814","0.194702","201","255"
"[1550]",,"2677","516","0","-5.36341","-9.68766","0.2","25.909","0.819336","-0.468018","0.331299","201","255"
"[1551]",,"2677","517","0","-5.36341","-9.68766","0.2","25.909","0.819336","-0.468018","0.331299","201","255"
"[1552]",,"2592","517","0","-5.34958","-9.56502","0.2","25.9879","0.723633","-0.652344","0.225464","201","255"
"[1553]",,"1586","517","0","-5.40489","-9.61267","0.2","25.9055","0.765625","-0.54248","0.345947","201","255"
"[1554]",,"1640","518","0","-5.39287","-9.47925","0.2","25.982","0.782715","-0.408691","0.469727","201","255"
"[1555]",,"1586","518","0","-5.40489","-9.61267","0.2","25.9055","0.765625","-0.54248","0.345947","201","255"
"[1556]",,"2592","518","0","-5.34958","-9.56502","0.2","25.9879","0.723633","-0.652344","0.225464","201","255"
"[1557]",,"1586","519","0","-5.40489","-9.61267","0.2","25.9055","0.765625","-0.54248","0.345947","201","255"
"[1558]",,"1640","519","0","-5.39287","-9.47925","0.2","25.982","0.782715","-0.408691","0.469727","201","255"
"[1559]",,"1675","519","0","-5.44385","-9.53129","0.2","25.9004","0.808594","-0.413086","0.418701","201","255"
"[1560]",,"1813","520","0","-5.42053","-9.38279","0.2","25.9602","0.750977","-0.0759888","0.655762","201","255"
"[1561]",,"1675","520","0","-5.44385","-9.53129","0.2","25.9004","0.808594","-0.413086","0.418701","201","255"
